,id,game_id,team_id,home_away,points,winner,line_scores
0,6262,332410006,253,away,22,True,"[10, 0, 3, 9]"
1,6261,332410006,6,home,21,False,"[0, 7, 7, 7]"
2,6272,332410023,16,away,0,False,"[0, 0, 0, 0]"
3,6271,332410023,23,home,24,True,"[3, 14, 7, 0]"
4,6263,332410041,41,home,18,False,"[7, 3, 0, 8]"
5,6264,332410041,119,away,33,True,"[7, 6, 6, 14]"
6,6244,332410062,30,away,30,True,"[3, 17, 0, 10]"
7,6243,332410062,62,home,13,False,"[0, 5, 0, 8]"
8,6251,332410084,84,home,73,True,"[21, 24, 21, 7]"
9,6252,332410084,282,away,35,False,"[7, 14, 7, 7]"
10,6253,332410135,135,home,51,True,"[3, 13, 14, 21]"
11,6254,332410135,2439,away,23,False,"[6, 7, 3, 7]"
12,6247,332410154,154,home,31,True,"[3, 14, 7, 7]"
13,6248,332410154,2506,away,7,False,"[7, 0, 0, 0]"
14,6249,332410189,189,home,34,True,"[3, 3, 7, 21]"
15,6250,332410189,202,away,7,False,"[0, 0, 0, 7]"
16,6269,332410238,238,home,35,False,"[0, 21, 7, 7]"
17,6270,332410238,145,away,39,True,"[10, 0, 15, 14]"
18,6267,332410254,254,home,30,True,"[14, 0, 10, 6]"
19,6268,332410254,328,away,26,False,"[3, 14, 6, 3]"
20,6273,332410278,278,home,52,True,"[7, 14, 7, 17, 7]"
21,6274,332410278,164,away,51,False,"[10, 10, 11, 14, 6]"
22,6256,332412050,2287,away,28,False,"[14, 7, 0, 7]"
23,6255,332412050,2050,home,51,True,"[9, 7, 21, 14]"
24,6258,332412116,2006,away,7,False,"[0, 0, 0, 7]"
25,6257,332412116,2116,home,38,True,"[14, 10, 14, 0]"
26,6246,332412309,2335,away,10,False,"[0, 3, 7, 0]"
27,6245,332412309,2309,home,17,True,"[7, 0, 0, 10]"
28,6260,332412393,2717,away,24,False,"[0, 18, 0, 6]"
29,6259,332412393,2393,home,45,True,"[21, 10, 7, 7]"
30,6241,332412579,2579,home,27,True,"[17, 3, 7, 0]"
31,6242,332412579,153,away,10,False,"[0, 7, 3, 0]"
32,6265,332412655,2655,home,34,True,"[13, 7, 7, 7]"
33,6266,332412655,2296,away,7,False,"[0, 0, 0, 7]"
34,6289,332420012,12,home,35,True,"[7, 7, 14, 7]"
35,6290,332420012,2464,away,0,False,"[0, 0, 0, 0]"
36,6279,332420127,127,home,26,True,"[7, 6, 6, 7]"
37,6280,332420127,2711,away,13,False,"[0, 7, 0, 6]"
38,6286,332420248,2582,away,13,False,"[0, 6, 7, 0]"
39,6285,332420248,248,home,62,True,"[10, 17, 14, 21]"
40,6276,332420349,2415,away,12,False,"[0, 6, 6, 0]"
41,6275,332420349,349,home,28,True,"[14, 7, 7, 0]"
42,6278,332422247,2535,away,31,True,"[7, 0, 7, 17]"
43,6277,332422247,2247,home,21,False,"[7, 7, 0, 7]"
44,6288,332422306,2449,away,24,True,"[7, 0, 10, 7]"
45,6287,332422306,2306,home,21,False,"[0, 7, 14, 0]"
46,6281,332422390,2390,home,34,True,"[3, 17, 14, 0]"
47,6282,332422390,2226,away,6,False,"[0, 3, 3, 0]"
48,6284,332422567,2641,away,41,True,"[3, 10, 7, 21]"
49,6283,332422567,2567,home,23,False,"[3, 6, 7, 7]"
50,6370,332430002,265,away,24,False,"[7, 14, 3, 0]"
51,6369,332430002,2,home,31,True,"[8, 17, 3, 3]"
52,6349,332430008,8,home,34,True,"[7, 13, 14, 0]"
53,6350,332430008,309,away,14,False,"[0, 7, 7, 0]"
54,6383,332430021,21,home,19,False,"[13, 3, 3, 0]"
55,6384,332430021,2197,away,40,True,"[7, 12, 7, 14]"
56,6322,332430025,77,away,44,True,"[7, 10, 10, 17]"
57,6321,332430025,25,home,30,False,"[7, 3, 14, 6]"
58,6320,332430026,2440,away,20,False,"[3, 10, 0, 7]"
59,6319,332430026,26,home,58,True,"[7, 10, 20, 21]"
60,6301,332430057,57,home,24,True,"[7, 10, 7, 0]"
61,6302,332430057,2649,away,6,False,"[0, 3, 3, 0]"
62,6374,332430058,2377,away,53,True,"[2, 31, 10, 10]"
63,6373,332430058,58,home,21,False,"[7, 0, 7, 7]"
64,6327,332430059,59,home,70,True,"[28, 14, 21, 7]"
65,6328,332430059,2210,away,0,False,"[0, 0, 0, 0]"
66,6381,332430066,66,home,20,False,"[7, 7, 6, 0]"
67,6382,332430066,2460,away,28,True,"[7, 14, 0, 7]"
68,6307,332430087,87,home,28,True,"[14, 7, 7, 0]"
69,6308,332430087,218,away,6,False,"[0, 6, 0, 0]"
70,6376,332430098,96,away,26,False,"[3, 14, 0, 9]"
71,6375,332430098,98,home,35,True,"[7, 14, 7, 7]"
72,6329,332430103,103,home,24,True,"[7, 0, 14, 3]"
73,6330,332430103,222,away,14,False,"[14, 0, 0, 0]"
74,6338,332430120,2229,away,10,False,"[3, 7, 0, 0]"
75,6337,332430120,120,home,43,True,"[13, 27, 0, 3]"
76,6313,332430130,130,home,59,True,"[14, 21, 21, 3]"
77,6314,332430130,2117,away,9,False,"[3, 3, 0, 3]"
78,6371,332430142,142,home,58,True,"[13, 17, 21, 7]"
79,6372,332430142,93,away,14,False,"[14, 0, 0, 0]"
80,6352,332430150,2428,away,0,False,"[0, 0, 0, 0]"
81,6351,332430150,150,home,45,True,"[14, 14, 14, 3]"
82,6368,332430151,295,away,38,False,"[3, 14, 14, 7]"
83,6367,332430151,151,home,52,True,"[7, 14, 14, 17]"
84,6339,332430152,152,home,40,True,"[14, 10, 3, 13]"
85,6340,332430152,2348,away,14,False,"[0, 7, 0, 7]"
86,6316,332430158,2751,away,34,False,"[7, 7, 7, 13]"
87,6315,332430158,158,home,37,True,"[10, 7, 14, 6]"
88,6379,332430167,167,home,13,False,"[6, 7, 0, 0]"
89,6380,332430167,2636,away,21,True,"[0, 7, 7, 7]"
90,6293,332430194,194,home,40,True,"[23, 7, 7, 3]"
91,6294,332430194,2084,away,20,False,"[0, 13, 7, 0]"
92,6306,332430197,344,away,3,False,"[3, 0, 0, 0]"
93,6305,332430197,197,home,21,True,"[0, 7, 7, 7]"
94,6312,332430201,2433,away,0,False,"[0, 0, 0, 0]"
95,6311,332430201,201,home,34,True,"[0, 13, 21, 0]"
96,6326,332430204,331,away,49,True,"[6, 23, 7, 13]"
97,6325,332430204,204,home,46,False,"[7, 10, 15, 14]"
98,6347,332430213,213,home,23,True,"[0, 6, 7, 10]"
99,6348,332430213,183,away,17,False,"[0, 3, 7, 7]"
100,6298,332430228,61,away,35,False,"[14, 7, 7, 7]"
101,6297,332430228,228,home,38,True,"[14, 7, 10, 7]"
102,6378,332430239,2747,away,3,False,"[0, 0, 3, 0]"
103,6377,332430239,239,home,69,True,"[28, 10, 28, 3]"
104,6299,332430245,245,home,52,True,"[7, 21, 10, 14]"
105,6300,332430245,242,away,31,False,"[14, 7, 0, 10]"
106,6365,332430249,249,home,40,True,"[14, 12, 7, 7]"
107,6366,332430249,70,away,6,False,"[6, 0, 0, 0]"
108,6310,332430251,166,away,7,False,"[0, 7, 0, 0]"
109,6309,332430251,251,home,56,True,"[0, 14, 21, 21]"
110,6346,332430258,252,away,16,False,"[0, 7, 0, 9]"
111,6345,332430258,258,home,19,True,"[0, 3, 9, 7]"
112,6291,332430259,259,home,10,False,"[7, 3, 0, 0]"
113,6292,332430259,333,away,35,True,"[14, 14, 7, 0]"
114,6317,332430264,264,home,38,True,"[7, 3, 14, 14]"
115,6318,332430264,68,away,6,False,"[0, 3, 3, 0]"
116,6323,332430275,275,home,45,True,"[10, 7, 21, 7]"
117,6324,332430275,113,away,0,False,"[0, 0, 0, 0]"
118,6357,332430276,276,home,52,True,"[0, 14, 21, 17]"
119,6358,332430276,193,away,14,False,"[7, 7, 0, 0]"
120,6332,332430277,2729,away,17,False,"[7, 10, 0, 0]"
121,6331,332430277,277,home,24,True,"[7, 0, 10, 7]"
122,6334,332430356,79,away,34,False,"[7, 0, 17, 10]"
123,6333,332430356,356,home,42,True,"[3, 22, 14, 3]"
124,6342,332432005,2142,away,13,False,"[7, 0, 0, 6]"
125,6341,332432005,2005,home,38,True,"[0, 21, 10, 7]"
126,6360,332432032,2029,away,11,False,"[0, 0, 11, 0]"
127,6359,332432032,2032,home,62,True,"[14, 34, 14, 0]"
128,6335,332432132,2132,home,42,True,"[0, 14, 14, 14]"
129,6336,332432132,2509,away,7,False,"[0, 7, 0, 0]"
130,6356,332432199,47,away,24,False,"[0, 10, 14, 0]"
131,6355,332432199,2199,home,34,True,"[0, 13, 7, 14]"
132,6344,332432294,2459,away,30,True,"[10, 7, 3, 10]"
133,6343,332432294,2294,home,27,False,"[7, 17, 0, 3]"
134,6295,332432483,2483,home,66,True,"[24, 14, 7, 21]"
135,6296,332432483,2447,away,3,False,"[0, 3, 0, 0]"
136,6364,332432572,326,away,22,True,"[7, 7, 0, 8]"
137,6363,332432572,2572,home,15,False,"[0, 3, 9, 3]"
138,6303,332432628,2628,home,27,False,"[3, 7, 7, 10]"
139,6304,332432628,99,away,37,True,"[6, 10, 14, 7]"
140,6353,332432633,2633,home,45,True,"[21, 21, 3, 0]"
141,6354,332432633,2046,away,0,False,"[0, 0, 0, 0]"
142,6362,332432653,5,away,31,False,"[14, 3, 14, 0, 0]"
143,6361,332432653,2653,home,34,True,"[7, 0, 10, 14, 3]"
144,6387,332440036,36,home,27,False,"[0, 10, 14, 3]"
145,6388,332440036,38,away,41,True,"[10, 10, 3, 18]"
146,6386,332440097,195,away,7,False,"[0, 0, 7, 0]"
147,6385,332440097,97,home,49,True,"[14, 14, 14, 7]"
148,6390,332450221,52,away,41,True,"[7, 21, 6, 7]"
149,6389,332450221,221,home,13,False,"[7, 3, 3, 0]"
150,6393,332480009,9,home,55,True,"[14, 28, 10, 3]"
151,6394,332480009,16,away,0,False,"[0, 0, 0, 0]"
152,6391,332480151,151,home,31,True,"[7, 14, 10, 0]"
153,6392,332480151,2226,away,13,False,"[3, 3, 0, 7]"
154,6395,332490103,103,home,24,True,"[10, 7, 7, 0]"
155,6396,332490103,154,away,10,False,"[7, 0, 0, 3]"
156,6397,332492229,2229,home,0,False,"[0, 0, 0, 0]"
157,6398,332492229,2116,away,38,True,"[7, 17, 14, 0]"
158,6521,332500002,2,home,38,True,"[14, 7, 7, 10]"
159,6522,332500002,2032,away,9,False,"[3, 0, 6, 0]"
160,6518,332500008,2535,away,21,False,"[7, 0, 14, 0]"
161,6517,332500008,8,home,31,True,"[14, 3, 0, 14]"
162,6405,332500024,24,home,34,True,"[7, 10, 10, 7]"
163,6406,332500024,23,away,13,False,"[3, 3, 7, 0]"
164,6488,332500025,2502,away,30,False,"[14, 9, 7, 0]"
165,6487,332500025,25,home,37,True,"[10, 17, 10, 0]"
166,6435,332500030,30,home,7,False,"[0, 7, 0, 0]"
167,6436,332500030,265,away,10,True,"[0, 7, 0, 3]"
168,6525,332500038,38,home,38,True,"[7, 7, 3, 21]"
169,6526,332500038,2110,away,24,False,"[0, 14, 3, 7]"
170,6407,332500061,61,home,41,True,"[10, 14, 10, 7]"
171,6408,332500061,2579,away,30,False,"[3, 21, 0, 6]"
172,6469,332500068,68,home,63,True,"[14, 35, 14, 0]"
173,6470,332500068,2630,away,14,False,"[7, 0, 0, 7]"
174,6426,332500077,183,away,27,False,"[0, 7, 6, 14]"
175,6425,332500077,77,home,48,True,"[10, 24, 0, 14]"
176,6490,332500084,2426,away,41,True,"[14, 10, 14, 3]"
177,6489,332500084,84,home,35,False,"[0, 14, 7, 14]"
178,6438,332500096,193,away,7,False,"[7, 0, 0, 0]"
179,6437,332500096,96,home,41,True,"[24, 7, 0, 10]"
180,6412,332500097,2198,away,7,False,"[0, 0, 0, 7]"
181,6411,332500097,97,home,44,True,"[14, 13, 10, 7]"
182,6414,332500099,5,away,17,False,"[0, 17, 0, 0]"
183,6413,332500099,99,home,56,True,"[21, 14, 21, 0]"
