,id,game_id,team_id,home_away,points,winner,line_scores
0,4612,400547640,218,away,37,True,"[7, 14, 13, 3]"
1,4611,400547640,238,home,7,False,"[0, 7, 0, 0]"
2,4615,400547641,41,home,10,False,"[0, 7, 0, 3]"
3,4616,400547641,252,away,35,True,"[14, 14, 0, 7]"
4,4661,400547642,2116,home,24,False,"[0, 3, 7, 14]"
5,4662,400547642,213,away,26,True,"[7, 3, 10, 6]"
6,4744,400547643,2428,away,7,False,"[7, 0, 0, 0]"
7,4743,400547643,151,home,52,True,"[10, 21, 7, 14]"
8,4623,400547644,248,home,7,False,"[0, 0, 0, 7]"
9,4624,400547644,2636,away,27,True,"[7, 7, 10, 3]"
10,4724,400547645,2046,away,0,False,"[0, 0, 0, 0]"
11,4723,400547645,235,home,63,True,"[21, 21, 14, 7]"
12,4725,400547646,58,home,36,True,"[3, 13, 7, 13]"
13,4726,400547646,2717,away,31,False,"[14, 3, 0, 14]"
14,4605,400547647,202,home,38,True,"[0, 14, 3, 11, 3, 7]"
15,4606,400547647,2655,away,31,False,"[7, 14, 0, 7, 3, 0]"
16,4746,400547648,2567,away,0,False,"[0, 0, 0, 0]"
17,4745,400547648,239,home,45,True,"[24, 7, 7, 7]"
18,4805,400547649,41,home,19,True,"[3, 9, 7, 0]"
19,4806,400547649,2619,away,16,False,"[10, 0, 0, 6]"
20,4791,400547650,2579,home,33,True,"[7, 13, 10, 3]"
21,4792,400547650,151,away,23,False,"[6, 10, 0, 7]"
22,4885,400547651,248,home,47,True,"[10, 24, 6, 7]"
23,4886,400547651,2755,away,0,False,"[0, 0, 0, 0]"
24,4773,400547652,26,home,42,True,"[13, 15, 7, 7]"
25,4774,400547652,235,away,35,False,"[7, 14, 0, 14]"
26,4808,400547653,2567,away,6,False,"[0, 0, 0, 6]"
27,4807,400547653,249,home,43,True,"[3, 20, 6, 14]"
28,4841,400547654,58,home,17,False,"[7, 10, 0, 0]"
29,4842,400547654,120,away,24,True,"[14, 0, 0, 10]"
30,4817,400547655,218,home,24,False,"[7, 7, 3, 7]"
31,4818,400547655,2426,away,31,True,"[10, 7, 14, 0]"
32,4852,400547656,59,away,38,True,"[7, 17, 7, 7]"
33,4851,400547656,2655,home,21,False,"[14, 7, 0, 0]"
34,4763,400547657,202,home,7,False,"[0, 0, 7, 0]"
35,4764,400547657,201,away,52,True,"[21, 10, 14, 7]"
36,4900,400547658,248,away,25,False,"[0, 15, 0, 10]"
37,4899,400547658,252,home,33,True,"[16, 7, 3, 7]"
38,4906,400547659,2649,away,34,False,"[0, 14, 17, 3]"
39,4905,400547659,2132,home,58,True,"[20, 21, 0, 17]"
40,4934,400547660,2116,away,10,False,"[3, 7, 0, 0]"
41,4933,400547660,142,home,38,True,"[7, 7, 7, 17]"
42,4943,400547661,41,home,21,False,"[3, 7, 11, 0]"
43,4944,400547661,68,away,38,True,"[7, 14, 3, 14]"
44,4931,400547662,259,home,21,False,"[0, 7, 0, 14]"
45,4932,400547662,151,away,28,True,"[21, 0, 0, 7]"
46,4970,400547663,152,away,49,True,"[14, 21, 14, 0]"
47,4969,400547663,58,home,17,False,"[7, 0, 10, 0]"
48,5004,400547664,2545,away,20,False,"[0, 3, 7, 10]"
49,5003,400547664,2655,home,35,True,"[7, 21, 0, 7]"
50,4994,400547665,202,away,21,False,"[0, 7, 7, 7]"
51,4993,400547665,2226,home,50,True,"[17, 16, 10, 7]"
52,5018,400547666,41,away,14,False,"[0, 7, 0, 7]"
53,5017,400547666,58,home,17,True,"[14, 0, 0, 3]"
54,5093,400547667,2116,home,41,True,"[3, 17, 14, 7]"
55,5094,400547667,2065,away,7,False,"[7, 0, 0, 0]"
56,5101,400547668,2132,home,31,True,"[7, 17, 7, 0]"
57,5102,400547668,193,away,24,False,"[7, 7, 7, 3]"
58,5071,400547669,151,home,70,True,"[14, 21, 21, 14]"
59,5072,400547669,153,away,41,False,"[13, 7, 7, 14]"
60,5104,400547670,2393,away,17,False,"[7, 0, 3, 7]"
61,5103,400547670,235,home,36,True,"[9, 10, 3, 14]"
62,5027,400547671,2567,home,6,False,"[0, 3, 0, 3]"
63,5028,400547671,245,away,58,True,"[17, 21, 10, 10]"
64,5062,400547672,2169,away,0,False,"[0, 0, 0, 0]"
65,5061,400547672,218,home,59,True,"[28, 21, 3, 7]"
66,5057,400547673,150,home,47,True,"[16, 3, 14, 14]"
67,5058,400547673,2655,away,13,False,"[7, 0, 6, 0]"
68,5168,400547674,2132,away,28,False,"[7, 14, 7, 0]"
69,5167,400547674,194,home,50,True,"[23, 7, 13, 7]"
70,5210,400547675,218,away,36,True,"[7, 0, 23, 6]"
71,5209,400547675,41,home,10,False,"[0, 3, 7, 0]"
72,5152,400547676,235,away,3,False,"[3, 0, 0, 0]"
73,5151,400547676,145,home,24,True,"[7, 0, 0, 17]"
74,5175,400547677,2567,home,0,False,"[0, 0, 0, 0]"
75,5176,400547677,2628,away,56,True,"[7, 21, 21, 7]"
76,5163,400547678,275,home,27,True,"[3, 0, 17, 7]"
77,5164,400547678,58,away,10,False,"[3, 0, 7, 0]"
78,5178,400547679,2655,away,6,False,"[0, 6, 0, 0]"
79,5177,400547679,164,home,31,True,"[14, 7, 3, 7]"
80,5229,400547680,202,home,34,False,"[0, 0, 3, 14, 7, 7, 3]"
81,5230,400547680,326,away,37,True,"[0, 7, 10, 0, 7, 7, 6]"
82,5240,400547682,2116,away,17,True,"[0, 7, 10, 0]"
83,5239,400547682,248,home,12,False,"[3, 3, 0, 6]"
84,5335,400547683,2132,home,14,False,"[7, 0, 7, 0]"
85,5336,400547683,235,away,41,True,"[24, 3, 14, 0]"
86,5278,400547684,2567,away,24,False,"[0, 7, 17, 0]"
87,5277,400547684,151,home,45,True,"[14, 14, 7, 10]"
88,5299,400547685,36,home,42,True,"[14, 14, 7, 7]"
89,5300,400547685,202,away,17,False,"[0, 7, 3, 7]"
90,5351,400547686,2116,home,31,True,"[10, 0, 7, 7, 7]"
91,5352,400547686,252,away,24,False,"[0, 3, 21, 0, 0]"
92,5391,400547687,2390,home,55,True,"[14, 10, 17, 14]"
93,5392,400547687,2132,away,34,False,"[7, 3, 3, 21]"
94,5450,400547688,41,away,3,False,"[3, 0, 0, 0]"
95,5449,400547688,2655,home,12,True,"[7, 0, 2, 3]"
96,5384,400547689,151,away,28,True,"[7, 0, 7, 14]"
97,5383,400547689,58,home,17,False,"[7, 10, 0, 0]"
98,5443,400547690,235,home,24,False,"[7, 14, 0, 3]"
99,5444,400547690,248,away,28,True,"[0, 14, 7, 7]"
100,5393,400547691,218,home,35,True,"[7, 14, 0, 14]"
101,5394,400547691,202,away,24,False,"[7, 7, 7, 3]"
102,5502,400547692,2655,away,13,False,"[3, 0, 3, 7]"
103,5501,400547692,2116,home,20,True,"[0, 13, 7, 0]"
104,5538,400547693,2132,away,41,True,"[6, 22, 3, 10]"
105,5537,400547693,2567,home,3,False,"[3, 0, 0, 0]"
106,5467,400547694,248,home,31,True,"[10, 7, 14, 0]"
107,5468,400547694,218,away,10,False,"[3, 7, 0, 0]"
108,5499,400547695,202,home,30,False,"[17, 10, 3, 0]"
109,5500,400547695,58,away,38,True,"[7, 0, 14, 17]"
110,5567,400547696,151,home,31,True,"[14, 0, 7, 10]"
111,5568,400547696,41,away,21,False,"[7, 0, 14, 0]"
112,5574,400547697,58,away,17,False,"[3, 0, 0, 14]"
113,5573,400547697,2132,home,34,True,"[10, 10, 0, 14]"
114,5654,400547698,218,away,14,False,"[0, 14, 0, 0]"
115,5653,400547698,2116,home,34,True,"[17, 10, 7, 0]"
116,5614,400547699,235,away,48,True,"[7, 24, 10, 7]"
117,5613,400547699,2567,home,10,False,"[0, 7, 3, 0]"
118,5667,400547700,2655,home,14,False,"[0, 0, 14, 0]"
119,5668,400547700,2132,away,38,True,"[10, 14, 7, 7]"
